team,name,number,position,height_cm,weight_kg,nationality
원주 DB 프로미,강상재,26,스몰 포워드/파워 포워드,200,98,KOR
원주 DB 프로미,이윤기,13,스몰 포워드,189,94.4,KOR
원주 DB 프로미,레이션 해먼즈,22,파워 포워드,201,109,USA
원주 DB 프로미,이윤수,99,센터,202.7,107,KOR
안양 정관장 레드부스터스,김진영,1,슈팅 가드,193,67,KOR
안양 정관장 레드부스터스,김세창,2,포인트 가드,183,73,KOR
안양 정관장 레드부스터스,박정웅,4,슈팅 가드,193,81,KOR
안양 정관장 레드부스터스,변준형,5,포인트 가드/슈팅 가드,185.3,95,KOR
안양 정관장 레드부스터스,박지훈,6,포인트 가드,184,75,KOR
안양 정관장 레드부스터스,렌즈 아반도,12,슈팅 가드/스몰 포워드,187,73,PHI
안양 정관장 레드부스터스,문유현,24,포인트 가드,180.1,78.5,KOR
안양 정관장 레드부스터스,표승빈,7,스몰 포워드/슈팅 가드,189.2,90,KOR
안양 정관장 레드부스터스,허일영,10,스몰 포워드,196,95,KOR
안양 정관장 레드부스터스,주현우,14,파워 포워드,197.5,88,KOR
안양 정관장 레드부스터스,이대헌,21,파워 포워드/센터,195.2,98,KOR
안양 정관장 레드부스터스,라숀 토마스,25,파워 포워드,198,108,USA
안양 정관장 레드부스터스,김준형,35,스몰 포워드,201.1,78,KOR
안양 정관장 레드부스터스,송한준,44,스몰 포워드,198,84,KOR
안양 정관장 레드부스터스,한승희,51,파워 포워드/센터,196,102.8,KOR
안양 정관장 레드부스터스,박찬호,13,센터,201,107,KOR
안양 정관장 레드부스터스,김종규,15,센터,206.3,104.5,KOR
안양 정관장 레드부스터스,존 무니,33,센터,206,110,USA
부산 KCC 이지스,이호현,1,포인트 가드,182,74,KOR
부산 KCC 이지스,허웅,3,슈팅 가드,185,82,KOR
부산 KCC 이지스,김동현,5,슈팅 가드,190,88,KOR
부산 KCC 이지스,최진광,6,포인트 가드,176,68,KOR
부산 KCC 이지스,허훈,7,포인트 가드,180,80,KOR
부산 KCC 이지스,이주영,10,슈팅 가드,182,76,KOR
부산 KCC 이지스,이현호,30,가드,178.6,74.4,KOR
부산 KCC 이지스,조혁재,0,포워드,187,84,KOR
부산 KCC 이지스,최준용,2,스몰 포워드,200.2,100,KOR
부산 KCC 이지스,윤기찬,8,스몰 포워드,194.1,96,KOR
부산 KCC 이지스,송교창,9,파워 포워드,201.3,95,KOR
부산 KCC 이지스,김훈,12,스몰 포워드,193,90.3,KOR
부산 KCC 이지스,이찬영,13,포워드,192,82,KOR
부산 KCC 이지스,강태현,27,스몰 포워드,197.2,87,KOR
부산 KCC 이지스,김윤성,14,센터,198.6,90,KOR
부산 KCC 이지스,장재석,31,센터,203.4,96,KOR
부산 KCC 이지스,숀 롱,36,센터,205,118,USA
수원 KT 소닉붐,조환희,2,포인트 가드,181.3,72,KOR
수원 KT 소닉붐,김선형,5,포인트 가드/슈팅 가드,187,80,KOR
수원 KT 소닉붐,정창영,7,포인트 가드/슈팅 가드,193,90,KOR
수원 KT 소닉붐,박지원,9,포인트 가드/슈팅 가드,190.8,81.8,KOR
수원 KT 소닉붐,이현석,11,슈팅 가드,189,85,KOR
수원 KT 소닉붐,김준환,17,슈팅 가드,187,85,KOR
수원 KT 소닉붐,강성욱,77,포인트 가드,183.5,73,KOR
수원 KT 소닉붐,미구엘 안드레 옥존,99,포인트 가드,182,73,PHI
수원 KT 소닉붐,한희원,1,스몰 포워드,195,92,KOR
수원 KT 소닉붐,문성곤,10,스몰 포워드,195.6,95,KOR
수원 KT 소닉붐,문정현,12,스몰 포워드,194.2,96.8,KOR
수원 KT 소닉붐,박민재,14,스몰 포워드,193.4,80,KOR
수원 KT 소닉붐,서민수,98,포워드,196.2,92,KOR
수원 KT 소닉붐,전성현,97,스몰 포워드/슈팅 가드,188.6,85,KOR
수원 KT 소닉붐,패리스 배스,96,포워드,201,102,USA
수원 KT 소닉붐,하윤기,0,센터,203.5,100,KOR
수원 KT 소닉붐,이두원,21,센터,204.4,103,KOR
울산 현대모비스 피버스,박무빈,3,포인트 가드/슈팅 가드,184.4,80,KOR
울산 현대모비스 피버스,김동준,5,포인트 가드,175,70,KOR
울산 현대모비스 피버스,서명진,7,포인트 가드,189.7,77.1,KOR
울산 현대모비스 피버스,박정환,13,포인트 가드,180.2,77,KOR
울산 현대모비스 피버스,김건하,15,포인트 가드,174.3,75,KOR
울산 현대모비스 피버스,김근현,18,슈팅 가드,187.9,74.3,KOR
울산 현대모비스 피버스,이도헌,19,포인트 가드,186,80,KOR
울산 현대모비스 피버스,김태완,24,포인트 가드,180.3,70.8,KOR
울산 현대모비스 피버스,최강민,35,슈팅 가드,188,88,KOR
울산 현대모비스 피버스,배병준,99,슈팅 가드,191,83,KOR
울산 현대모비스 피버스,정준원,1,스몰 포워드,193,84,KOR
울산 현대모비스 피버스,조한진,9,슈팅 가드/스몰 포워드,193,90,KOR
울산 현대모비스 피버스,이대헌,21,파워 포워드/센터,195.2,98,KOR
울산 현대모비스 피버스,이승현,33,파워 포워드/센터,197,105,KOR
울산 현대모비스 피버스,이대균,23,센터,200,100.2,KOR
대구 한국가스공사 페가수스,샘조세프 벨란겔,0,포인트 가드/슈팅 가드,175,70,PHI
대구 한국가스공사 페가수스,정성우,3,포인트 가드,178,82,KOR
대구 한국가스공사 페가수스,우동현,5,포인트 가드/슈팅 가드,175.6,78,KOR
대구 한국가스공사 페가수스,권순우,17,슈팅 가드,186,88.5,KOR
대구 한국가스공사 페가수스,우상현,22,슈팅 가드/스몰 포워드,188.4,81.2,KOR
대구 한국가스공사 페가수스,양준우,23,포인트 가드,185.1,75.8,KOR
대구 한국가스공사 페가수스,양우혁,27,포인트 가드,178,68.4,KOR
대구 한국가스공사 페가수스,전현우,9,스몰 포워드,194,83,KOR
대구 한국가스공사 페가수스,양재혁,11,스몰 포워드,190.7,93,KOR
대구 한국가스공사 페가수스,김민규,13,스몰 포워드,196,88.3,KOR
대구 한국가스공사 페가수스,손준,24,파워 포워드/센터,198.5,103.2,KOR
대구 한국가스공사 페가수스,김국찬,30,스몰 포워드,190,90,KOR
대구 한국가스공사 페가수스,박준영,98,파워 포워드,195.4,99.6,KOR
대구 한국가스공사 페가수스,박준은,97,스몰 포워드,194.1,85,KOR
대구 한국가스공사 페가수스,최승욱,96,스몰 포워드,190.7,84,KOR
대구 한국가스공사 페가수스,라건아,20,센터,200.5,111,KOR
대구 한국가스공사 페가수스,김준일,31,파워 포워드/센터,201,96,KOR
서울 삼성 썬더스,이관희,2,슈팅 가드,190,82,KOR
서울 삼성 썬더스,황영찬,3,가드,178.5,77.5,KOR
서울 삼성 썬더스,한호빈,5,포인트 가드,180,78,KOR
서울 삼성 썬더스,조준희,6,슈팅 가드,187.2,77.3,KOR
서울 삼성 썬더스,최성모,7,포인트 가드,186.4,82,KOR
서울 삼성 썬더스,이대성,43,포인트 가드/슈팅 가드,193,90,KOR
서울 삼성 썬더스,안세준,1,스몰 포워드,195.4,89,KOR
서울 삼성 썬더스,최현민,8,스몰 포워드/파워 포워드,195,100,KOR
서울 삼성 썬더스,신동혁,9,스몰 포워드,191.3,82.8,KOR
서울 삼성 썬더스,임동언,11,스몰 포워드,194.7,85.5,KOR
서울 삼성 썬더스,크리스 맥컬러,13,파워 포워드,206,98,USA
서울 삼성 썬더스,저스틴 구탕,18,스몰 포워드/슈팅 가드,188,83,PHI
서울 삼성 썬더스,이근휘,19,슈팅 가드/스몰 포워드,187.9,85,KOR
서울 삼성 썬더스,여준형,21,파워 포워드,197.4,95,KOR
서울 삼성 썬더스,이규태,23,파워 포워드,199.5,100,KOR
서울 삼성 썬더스,윤성원,27,파워 포워드,196,95,KOR
서울 삼성 썬더스,정성조,77,스몰 포워드,191,85,KOR
서울 삼성 썬더스,박진철,15,센터,200,111,KOR
서울 삼성 썬더스,케렘 칸터,35,센터,208,109,TUR
고양 소노 스카이거너스,조석호,1,포인트 가드,178.7,75,KOR
고양 소노 스카이거너스,박종하,3,슈팅 가드,184.3,78.2,KOR
고양 소노 스카이거너스,이재도,4,포인트 가드,180,83,KOR
고양 소노 스카이거너스,이정현,6,포인트 가드/슈팅 가드,187,86.4,KOR
고양 소노 스카이거너스,이동엽,7,포인트 가드/슈팅 가드,192.5,85,KOR
고양 소노 스카이거너스,소준혁,20,슈팅 가드,184.8,82.1,KOR
고양 소노 스카이거너스,김진유,55,슈팅 가드,188,83,KOR
고양 소노 스카이거너스,정희재,9,파워 포워드,195,94,KOR
고양 소노 스카이거너스,안정욱,10,스몰 포워드/파워 포워드,194,92,KOR
고양 소노 스카이거너스,서동원,11,스몰 포워드,193,93,KOR
고양 소노 스카이거너스,임동섭,13,스몰 포워드,198,93,KOR
고양 소노 스카이거너스,이근준,14,스몰 포워드,195,88,KOR
고양 소노 스카이거너스,신지원,17,파워 포워드,197.2,97,KOR
고양 소노 스카이거너스,케빈 켐바오,28,스몰 포워드/파워 포워드,195,97,PHI
고양 소노 스카이거너스,최승욱,77,스몰 포워드,192.4,82,KOR
고양 소노 스카이거너스,강지훈,12,센터,200.7,100,KOR
고양 소노 스카이거너스,조재우,15,센터,199.3,97,KOR
울산 현대모비스 피버스,다리우스 베즐리,99,포워드,206,94,USA
울산 현대모비스 피버스,게이지 프림,50,센터,206,110,USA
수원 KT 소닉붐,트레이 포터,55,센터,211,107,USA
울산 현대모비스 피버스,제리 아바디아노,10,포인트 가드/슈팅 가드,181,78,PHI
고양 소노 스카이거너스,스카티 제임스,4,파워 포워드,202,100,USA
고양 소노 스카이거너스,자니 오브라이언트,32,파워 포워드/센터,206,118,USA
대구 한국가스공사 페가수스,케베 알루마,44,파워 포워드,206,104,USA
부산 KCC 이지스,드완 에르난데스,8,센터,208,104,USA
부산 KCC 이지스,윌리엄 나바로,23,포워드,196,90,PHI
